Code;Classification;Cause;Measures to take when an alert occurs;Estimated abnormal parts;Correction;Note;Solution;Faulty part isolation DIPSW;Control during the detachment
C-0430;PF-707m (2nd tandem): Dehumidification heater/2 (HT5) temperature rise abnormality;The detection temperature of the temperature sensor/5 (TH5) does not rise to the specified temperature within a specified period of time.;when an alert occurs The main body and the option stop immediately.;• AC drive board (ACDB) • PFU drive board (PFUDB);;"- The message """"Please call service"""" is displayed on the panel.";1. Check the connector connections between ACDB and HT5, CN651 of the ACDB, CN655 (dehumidification heater relay), CN670 of the HT5, and the wiring. Then repair it when there is any abnormality. 2. Check the connector connections between PFUDB and TH5, CN136 of the PFUDB, CN671 (dehumidification fan heater unit/2 relay), CN674 of the TH5, and the wiring. Then repair it when there is any abnormality. 3. Replace ACDB. 4. Replace PFUDB.;;
C-0431;PF-707m (2nd tandem): Dehumidification heater/3 (HT6) temperature rise abnormality;The detection temperature of the temperature sensor/6 (TH6) does not rise to the specified temperature within a specified period of time.;when an alert occurs The main body and the option stop immediately.;• AC drive board (ACDB) • PFU drive board (PFUDB);;"- The message """"Please call service"""" is displayed on the panel.";1. Check the connector connections between ACDB and HT6, CN651 of the ACDB, CN655 (dehumidification heater relay), CN680 of the HT6, and the wiring. Then repair it when there is any abnormality. 2. Check the connector connections between PFUDB and TH6, CN138 of the PFUDB, CN681 (dehumidification fan heater unit/3 relay), CN684 of the TH6, and the wiring. Then repair it when there is any abnormality. 3. Replace ACDB. 4. Replace PFUDB.;;
C-0432;PF-707m (3rd tandem): Inside PFU drive board (PFUDB) 12 V power abnormality;The 12 V error detection signal of PFUDB (blowout of ICP) is detected.;when an alert occurs The main body and the option stop immediately.;• PFU drive board (PFUDB);;"- The message """"Please call service"""" is displayed on the panel.";"1. Execute the IO Check (43-15) of the PFU drive board (PFUDB). 2. When the result of the IO Check in the step 1 is normal, PFUDB is not abnormal. Go on to step 4. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check CN100 of PFUDB, CN201 (PFU 2nd tandem of the PFU 3rd tandem side relay), CN201 (PFU 1st tandem of PFU 2nd tandem side relay), CN201 (the main body of PFU 1st tandem side relay), CN203 (PFU 2nd tandem and PFU 3rd tandem of PFU 1st tandem side and PFU 2nd tandem side relay), CN496 (near the PFU relay part of the main body side), CN11 of the DC power supply unit/1 (DCPS/1), and the wiring. Then repair it when there is any abnormality. 4. Replace PFUDB. Table 1: Result check Result check Normal Abnormal START 0 1 STOP Not care Not care";;
C-0433;PF-707m (3rd tandem): Dehumidification heater/1 (HT4) high temperature abnormality (Hardware);After the power becomes active, the temperature sensor/4 (TH4) detects the heater abnormality signal.;when an alert occurs The main body and the option stop immediately.;• AC drive board (ACDB) • PFU drive board (PFUDB);;"- The message """"Please call service"""" is displayed on the panel.";1. Replace ACDB. 2. Replace PFUDB.;Control while detached;
C-0434;PF-707m (3rd tandem): Dehumidification heater/2 (HT5) high temperature abnormality (Hardware);After the power becomes active, the temperature sensor/5 (TH5) detects the heater abnormality signal.;when an alert occurs The main body and the option stop immediately.;• AC drive board (ACDB) • PFU drive board (PFUDB);;"- The message """"Please call service"""" is displayed on the panel.";1. Replace ACDB. 2. Replace PFUDB.;Control while detached;
C-0435;PF-707m (3rd tandem): Dehumidification heater/3 (HT6) high temperature abnormality (Hardware);After the power becomes active, the temperature sensor/6 (TH6) detects the heater abnormality signal.;when an alert occurs The main body and the option stop immediately.;• AC drive board (ACDB) • PFU drive board (PFUDB);;"- The message """"Please call service"""" is displayed on the panel.";1. Replace ACDB. 2. Replace PFUDB.;Control while detached;
C-0436;PF-707m (3rd tandem): Dehumidification heater/1 (HT4) high temperature abnormality (Software);After the power becomes active, the temperature sensor/4 (TH4) detects 92 ? or more on the heater temperature.;when an alert occurs The main body and the option stop immediately.;• AC drive board (ACDB) • PFU drive board (PFUDB);;"- The message """"Please call service"""" is displayed on the panel.";1. Replace ACDB. 2. Replace PFUDB.;;
C-0437;PF-707m (3rd tandem): Dehumidification heater/2 (HT5) high temperature abnormality (Software);After the power becomes active, the temperature sensor/5 (TH5) detects 92 ? or more on the heater temperature.;when an alert occurs The main body and the option stop immediately.;• AC drive board (ACDB) • PFU drive board (PFUDB);;"- The message """"Please call service"""" is displayed on the panel.";1. Replace ACDB. 2. Replace PFUDB.;;
C-0438;PF-707m (3rd tandem): Dehumidification heater/3 (HT6) high temperature abnormality (Software);After the power becomes active, the temperature sensor/6 (TH6) detects 92 ? or more on the heater temperature.;when an alert occurs The main body and the option stop immediately.;• AC drive board (ACDB) • PFU drive board (PFUDB);;"- The message """"Please call service"""" is displayed on the panel.";1. Replace ACDB. 2. Replace PFUDB.;;
C-0439;PF-707m (3rd tandem): Dehumidification heater/1 (HT4) temperature rise abnormality;The detection temperature of the temperature sensor/4 (TH4) does not rise to the specified temperature within a specified period of time.;when an alert occurs The main body and the option stop immediately.;• AC drive board (ACDB) • PFU drive board (PFUDB);;"- The message """"Please call service"""" is displayed on the panel.";1. Check the connector connections between ACDB and HT4, CN651 of the ACDB, CN655 (dehumidification heater relay), CN660 of the HT4, and the wiring. Then repair it when there is any abnormality. 2. Check the connector connections between PFUDB and TH4, CN136 of the PFUDB, CN661 (dehumidification fan heater unit/1 relay), CN664 of the TH4, and the wiring. Then repair it when there is any abnormality. 3. Replace ACDB. 4. Replace PFUDB.;;
C-0440;PF-707m (3rd tandem): Dehumidification heater/2 (HT5) temperature rise abnormality;The detection temperature of the temperature sensor/5 (TH5) does not rise to the specified temperature within a specified period of time.;when an alert occurs The main body and the option stop immediately.;• AC drive board (ACDB) • PFU drive board (PFUDB);;"- The message """"Please call service"""" is displayed on the panel.";1. Check the connector connections between ACDB and HT5, CN651 of the ACDB, CN655 (dehumidification heater relay), CN670 of the HT5, and the wiring. Then repair it when there is any abnormality. 2. Check the connector connections between PFUDB and TH5, CN136 of the PFUDB, CN671 (dehumidification fan heater unit/2 relay), CN674 of the TH5, and the wiring. Then repair it when there is any abnormality. 3. Replace ACDB. 4. Replace PFUDB.;;
C-0441;PF-707m (3rd tandem): Dehumidification heater/3 (HT6) temperature rise abnormality;The detection temperature of the temperature sensor/6 (TH6) does not rise to the specified temperature within a specified period of time.;when an alert occurs The main body and the option stop immediately.;• AC drive board (ACDB) • PFU drive board (PFUDB);;"- The message """"Please call service"""" is displayed on the panel.";1. Check the connector connections between ACDB and HT6, CN651 of the ACDB, CN655 (dehumidification heater relay), CN680 of the HT6, and the wiring. Then repair it when there is any abnormality. 2. Check the connector connections between PFUDB and TH6, CN138 of the PFUDB, CN681 (dehumidification fan heater unit/3 relay), CN684 of the TH6, and the wiring. Then repair it when there is any abnormality. 3. Replace ACDB. 4. Replace PFUDB.;;
C-0452;MB-508: Power source abnormality;Abnormality of the 12 V power for the MB drive board (MBDB). The abnormality detection signal (ICP cut out for 12 V) of the MBDB is detected.;when an alert occurs The main body and the option stop immediately.;MB drive board (MBDB);;"- The message """"Please call service"""" is displayed on the panel.";1. Check the connector connection between the PFU connecting section and MBDB, CN203 at the connecting section, CN299, CN700 of MBDB, and the wiring. Then repair it when there is any abnormality. 2. Replace MBDB.;;
C-0453;MB-508: Power source abnormality;Abnormality of the 24 V power for the MB drive board (MBDB). During printing, an abnormality detection signal (24 V power DOWN) of MBDB is detected.;when an alert occurs The main body and the option stop immediately.;MB drive board (MBDB);;"- The message """"Please call service"""" is displayed on the panel.";1. Check the connector connection between the PFU connecting section and MBDB, CN203 at the connecting section, CN299, CN700 of MBDB, and the wiring. Then repair it when there is any abnormality. 2. Replace MBDB.;;
C-0460;Main body: Paper lift motor abnormality;• When the paper lift motor/1 (M29) is active, an error detection signal of M29 is detected continuously for a specified period of time. • When the paper lift motor/2 (M28) is active, an error detection signal of M28 is detected continuously for a specified period of time.;when an alert occurs The main body and the option stop immediately.;• Printer control board (PRCB) • Paper lift motor/1 (M29) • Paper lift motor/2 (M28);;"- The message """"Please call service"""" is displayed on the panel.";1. Check the connector connection between PRCB and M28, M29, and the wiring. Then repair it when there is any abnormality. 2. Check the IO Check (23-01) of M28 and the coupling of the gear, and repair or replace it when there is any abnormality. (Wiring diagram: Main body (1/5): 15-F) 3. Check the IO Check (23-00) of M29 and the coupling of the gear, and repair or replace it when there is any abnormality. (Wiring diagram: Main body (1/5): 15-F) 4. Replace M28 and M29. 5. Replace PRCB.;;
C-0461;Main body: Paper exit motor abnormality;When the paper exit motor (M30) is active, an error detection signal of M30 is detected continuously for a specified period of time.;when an alert occurs The main body and the option stop immediately.;• Printer control board (PRCB) • Paper exit motor (M30);;"- The message """"Please call service"""" is displayed on the panel.";1. Check the connector connection between PRCB and M30, and the wiring. Then repair it when there is any abnormality. 2. Check the IO Check (27-20) and others of M30 and the coupling of the gear, and repair or replace it when there is any abnormality. (Wiring diagram: Main body (2/5): 13-I) 3. Replace M30. 4. Replace PRCB.;;
C-0462;Main body: Loop motor abnormality;When the loop motor (M42) is active, an error detection signal of M42 is detected continuously for a specified period of time.;when an alert occurs The main body and the option stop immediately.;• Conveyance drive board (CDB) • Loop motor (M42);;"- The message """"Please call service"""" is displayed on the panel.";1. Check the connector connection between CDB and M42, and the wiring. Then repair it when there is any abnormality. 2. Check the IO Check (26-00) and others of M42 and the coupling of the gear, and repair or replace it when there is any abnormality. (Wiring diagram: Main body (1/5): 18-J) 3. Replace M42. 4. Replace CDB.;;
C-0463;Main body: Registration motor abnormality;When the registration motor (M45) is active, an error detection signal of M45 is detected continuously for a specified period of time.;when an alert occurs The main body and the option stop immediately.;• Conveyance drive board (CDB) • Registration motor (M45);;"- The message """"Please call service"""" is displayed on the panel.";1. Check the connector connection between CDB and M45, and the wiring. Then repair it when there is any abnormality. 2. Check the IO Check (25-00) and others of M45 and the coupling of the gear, and repair or replace it when there is any abnormality. (Wiring diagram: Main body (1/5): 16-J) 3. Replace M45. 4. Replace CDB.;;
C-0464;Main body: Decurler motor abnormality;When the decurler motor (M44) is active, an error detection signal of M44 is detected continuously for a specified period of time.;when an alert occurs The main body and the option stop immediately.;• Conveyance drive board (CDB) • Decurler motor (M44);;"- The message """"Please call service"""" is displayed on the panel.";1. Check the connector connection between CDB and M44, and the wiring. Then repair it when there is any abnormality. 2. Check the IO Check (27-10) and others of M44 and the coupling of the gear, and repair or replace it when there is any abnormality. (Wiring diagram: Main body (1/5): 19-J) 3. Replace M44. 4. Replace CDB.;;
C-0465;Main body: Reverse exit motor abnormality;When the reverse exit motor (M43) is active, an error detection signal of M43 is detected continuously for a specified period of time.;when an alert occurs The main body and the option stop immediately.;• Conveyance drive board (CDB) • Reverse exit motor (M43);;"- The message """"Please call service"""" is displayed on the panel.";1. Check the connector connection between CDB and M43, and the wiring. Then repair it when there is any abnormality. 2. Check the IO Check (27-00) and others of M43 and the coupling of the gear, and repair or replace it when there is any abnormality. (Wiring diagram: Main body (1/5): 18-J) 3. Replace M43. 4. Replace CDB.;;
C-0466;Main body: ADU reverse motor abnormality;When the ADU reverse motor (M41) is active, an error detection signal of M41 is detected continuously for a specified period of time.;when an alert occurs The main body and the option stop immediately.;• Conveyance drive board (CDB) • ADU reverse motor (M41);;"- The message """"Please call service"""" is displayed on the panel.";1. Check the connector connection between CDB and M41, and the wiring. Then repair it when there is any abnormality. 2. Check the IO Check (84-00) and others of M41 and the coupling of the gear, and repair or replace it when there is any abnormality. (Wiring diagram: Main body (1/5): 17-J) 3. Replace M41. 4. Replace CDB.;;
C-1005;FS or OT: FS-532 or OT-512;Communication error.;when an alert occurs The main body and the option stop immediately.;• Printer control board (PRCB) • FNS control board (FNSCB);;"- The message """"Please call service"""" is displayed on the panel.";1. Turn OFF the sub power switch, and then turn OFF the main power switch. Then unplug all the power plug. Restart the main body after 10 seconds. 2. Check the connector connection and the wiring between the main body and each option, and repair it when there is any abnormality. 3. FS-532: Check the connector connection of FNSCB, and repair it when there is any abnormality. OT-512: Check the connector connection of FNSCB, and repair it when there is any abnormality. 4. Rewrite the firmware of the option. 5. Replace the control board of the option corresponds to the malfunction code.;;
C-1006;FD: FD abnormality;Communication error.;when an alert occurs The main body and the option stop immediately.;• Printer control board (PRCB) • FD control board (FDCB);;"- The message """"Please call service"""" is displayed on the panel.";1. Turn OFF the sub power switch, and then turn OFF the main power switch. Then unplug all the power plug. Restart the main body after 10 seconds. 2. Check the connector connection and the wiring between the main body and each option, and repair it when there is any abnormality. 3. Check the connector connection of FDCB, and repair it when there is any abnormality. 4. Rewrite the firmware of the option. 5. Replace the control board of the option corresponds to the malfunction code.;;
C-1007;SD: SD-506 abnormality;Communication error.;when an alert occurs The main body and the option stop immediately.;• Printer control board (PRCB) • SD control board (SDCB);;"- The message """"Please call service"""" is displayed on the panel.";1. Turn OFF the sub power switch, and then turn OFF the main power switch. Then unplug all the power plug. Restart the main body after 10 seconds. 2. Check the connector connection and the wiring between the main body and each option, and repair it when there is any abnormality. 3. Check the connector connection of SDCB, and repair it when there is any abnormality. 4. Rewrite the firmware of the option. 5. Replace the control board of the option corresponds to the malfunction code.;;
C-1007;SD: SD-513 abnormality;Communication error.;when an alert occurs The main body and the option stop immediately.;• Printer control board (PRCB) • SD control board (PCB1);;"- The message """"Please call service"""" is displayed on the panel.";1. Turn OFF the sub power switch, and then turn OFF the main power switch. Then unplug all the power plug. Restart the main body after 10 seconds. 2. Check the connector connection and the wiring between the main body and each option, and repair it when there is any abnormality. 3. Check the connector connection of PRCB and PCB1, and repair it when there is any abnormality. 4. Rewrite the firmware of the option. 5. Replace the control board of the option corresponds to the malfunction code.;;
C-1009;PB: PB abnormality;Communication error between Main CPU in the PB control board (PBCB) and Sub CPU1.;when an alert occurs The main body and the option stop immediately.;• PB control board (PBCB) • Control program;;"- The message """"Please call service"""" is displayed on the panel.";1. Turn OFF the sub power switch, and then turn OFF the main power switch. Then unplug all the power plug. Restart the main body after 10 seconds. 2. Check the connector connection of PBCB, and repair it when there is any abnormality. 3. Rewrite the firmware of the PB. 4. Replace PBCB. (Connector layout drawing in board: L.2.25.1 PB control board (PBCB));;
C-1010;PB: PB abnormality;Communication error between Main CPU in the PB control board (PBCB) and Sub CPU2.;when an alert occurs The main body and the option stop immediately.;• PB control board (PBCB) • Control program;;"- The message """"Please call service"""" is displayed on the panel.";1. Deactivate the sub power switch and unplug the power plug. Restart the main body after 10 seconds. 2. Check the connector connection of PBCB and repair it when there is any abnormality. 3. Rewrite the firmware of PB. 4. Replace PBCB. (Connector layout drawing in board : L.2.25.1 PB control board (PBCB));Control while detached;
C-1011;PB control board (PBCB);Paper feed error between the main body and PB.;when an alert occurs The main body and the option stop immediately.;• PB control board (PBCB) • Control program;;"- The message """"Please call service"""" is displayed on the panel.";1. Deactivate the sub power switch and unplug the power plug. Restart the main body after 10 seconds. 2. Check the connector connection and the wiring between the main body and each option, and repair it when there is any abnormality. 3. Check the connector connection of PBCB, and repair it when there is any abnormality. 4. Rewrite the firmware of the option. 5. Replace the control board of the option corresponds to the malfunction code.;Control while detached;
C-1014;RU control board (RUCB) (1st device);Paper feed error between the main body and RU.;when an alert occurs The main body and the option stop immediately.;• RU control board (RUCB) • Control program;;"- The message """"Please call service"""" is displayed on the touch panel.";1. Deactivate the sub power switch and unplug the power plug. Restart the main body after 10 seconds. 2. Check the connector connection and the wiring between the main body and each option, and repair it when there is any abnormality. 3. Check the connector connection of RUCB. Then repair it when there is any abnormality. 4. Rewrite the firmware of the option. 5. Replace the control board of the option corresponds to the malfunction code.;;
C-1015;RU-518m: Communication error (1st device);Communication error.;when an alert occurs The main body and the option stop immediately.;• RU control board (PCB1);;"- The message """"Please call service"""" is displayed on the panel.";1. Deactivate the sub power switch and unplug the power plug. Restart the main body after 10 seconds. 2. Check the connector connection between the main body and each option, and the wiring. Then repair it when there is any abnormality. 3. Check the connector connection of PCB1. Then, repair it when there is any abnormality. 4. Reinstall the RU-518m firmware. 5. Replace PCB1. (Connector layout drawing in board: L.2.9.1 RU control board (PCB1));;
C-1016;IQ-501: Communication error;Communication error.;when an alert occurs The main body and the option stop immediately.;• IQ control board (PCB1);;"- The message """"Please call service"""" is displayed on the panel.";1. Deactivate the sub power switch and unplug the power plug. Restart the main body after 10 seconds. 2. Check the connector connection between the upstream option connecting section and PCB1 , CN11 of PCB1, CN302 at the connecting section, and the wiring . Then repair it when there is any abnormality. 3. Reinstall the IQ-501 firmware. 4. Replace PCB1.;Control while detached;
C-1018;MK (1st tandem): Communication error;Integration I/F serial communication abnormality. Retransmission of communication data error does not complete.;when an alert occurs The main body and the option stop immediately.;• MK relay board (MKRB);Turn OFF/ON the sub power switch (SW2) of the main body for releasing an abnormal condition.;"- The message """"Please turn on power again"""" is displayed on the touch panel.";1. Check the connector connection and the wiring on MKRB, and repair it when there is any abnormality. (Wiring diagram: MK-737: 5-D) 2. Replace MKRB. (Connector layout drawing in board: L.2.31.1 MK relay board (MKRB));Control while detached;
C-1019;MK (2nd tandem): Communication error;Integration I/F serial communication abnormality. Retransmission of communication data error does not complete.;when an alert occurs The main body and the option stop immediately.;• MK relay board (MKRB);Turn OFF/ON the sub power switch (SW2) of the main body for releasing an abnormal condition.;"- The message """"Please turn on power again"""" is displayed on the touch panel.";1. Check the connector connection and the wiring on MKRB, and repair it when there is any abnormality. (Wiring diagram: MK-737: 5-D) 2. Replace MKRB. (Connector layout drawing in board: L.2.31.1 MK relay board (MKRB));Control while detached;
C-1021;RU-518m: Communication error (2nd device);Communication error.;when an alert occurs The main body and the option stop immediately.;• RU control board (PCB1);;"- The message """"Please call service"""" is displayed on the panel.";1. Deactivate the sub power switch and unplug the power plug. Restart the main body after 10 seconds. 2. Check the connector connections and the wirings between the main body and each option, and repair it when there is any abnormality. 3. Check the connector connection of PCB1, and the wiring. Then repair it when there is any abnormality. 4. Reinstall the RU-518m firmware. 5. Replace PCB1. (Connector layout drawing in board: L.2.9.1 RU control board (PCB1));;
C-1022;RU-702: Communication error;Communication error.;when an alert occurs The main body and the option stop immediately.;• RU control board (PCB1);;"- The message """"Please call service"""" is displayed on the panel.";1. Deactivate the sub power switch and the main power switch, and then unplug the power plug of the main body and options. Then Restart the main body after 10 seconds. 2. Check the connector connection between the main body and each option, and the wiring. Then repair it when there is any abnormality. 3. Check the connector connection of PCB1. Then repair it when there is any abnormality. 4. Reinstall RU-702 firmware. 5. Replace PCB1. (Connector layout drawing in board: RU control board (PCB1));;
C-1023;LS-507: Communication error (1st tandem);Communication error.;when an alert occurs The main body and the option stop immediately.;• LS control board (PCB1);;"- The message """"Please call service"""" is displayed on the panel.";1. Deactivate the sub power switch and unplug the power plug. Restart the main body after 10 seconds. 2. Check the connector connection between the upstream option section and PCB1, CN1 and CN6 of PCB1, CN340, CN341, CN342, and CN343 at the connecting section, and the wiring. Then repair it when there is any abnormality. 3. Reinstall the LS-507 firmware. 4. Replace PCB1.;DIPSW6-6;The use of the tandem (1st) LS is unavailable.
C-1024;LS-507: Communication error (2nd tandem);Communication error.;when an alert occurs The main body and the option stop immediately.;• LS control board (PCB1);;"- The message """"Please call service"""" is displayed on the panel.";1. Deactivate the sub power switch and unplug the power plug. Restart the main body after 10 seconds. 2. Check the connector connection between the upstream option section and PCB1, CN1 and CN6 of PCB1, CN340, CN341, CN342, and CN343 at the connecting section, and the wiring. Then repair it when there is any abnormality. 3. Reinstall the LS-507 firmware. 4. Replace PCB1.;DIPSW6-7;The use of the tandem (2nd) LS is unavailable.
C-1102;FS: FS-532 abnormality;The main tray up down motor (M301) does not become inactive even when a specified period of time elapses after it starts operations. Alternatively, it operates for more than the allowed time at a speed out of the specified one.;when an alert occurs The main body and the option stop immediately.;• FNS control board (FNSCB) • Main tray up down motor (M301) • Tray upper limit LED (LED1) • Main tray upper limit sensor (PS051);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";1. Check the tray up and down section, and clean or repair it when there is any abnormality. 2. Check the connector connection between FNSCB and M301, CN38 of FNSCB, CN111 of M301, and the wiring. Then repair it when there is any abnormality. 3. Check the connector connection between FNSCB and LED1, CN46 of FNSCB, CN79 (Relay connector), CN140 of LED1, and the wiring. Then repair it when there is any abnormality. 4. Check the connector connection between FNSCB and PS051, CN46 of FNSCB, CN154 of PS051, and the wiring. Then repair it when there is any abnormality. 5. Check the IO Check (72-11), LED emission, and the light-receiving path of PS051, and repair it when there is any abnormality. 6. Check the IO Check (72-15) of M301 and the coupling of the gear, and repair it when there is any abnormality. 7. Replace LED1 and PS051. 8. Replace M301. 9. Replace FNSCB.;DIPSW6-4;FS main tray and stapling are not available
C-1102;OT: OT-512 abnormality;The main tray up down motor (M301) does not become inactive even when a specified period of time elapses after it starts operations. Alternatively, it operates for more than the allowed time at a speed out of the specified one.;when an alert occurs The main body and the option stop immediately.;• FNS control board (FNSCB) • Main tray up down motor (M301) • Main tray upper limit sensor (LED001) • Main tray upper limit sensor (PS051);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";1. Check the tray up and down section, and clean or repair it when there is any abnormality. 2. Check the connector connection between FNSCB and M301, CN38 of FNSCB, CN111 of M301, and the wiring. Then, repair it when there is any abnormality. 3. Check the connector connection between FNSCB and LED001, CN46 of FNSCB, CN79 (Relay connector), CN140 of LED001, and the wiring. Then, repair it when there is any abnormality. 4. Check the connector connection between FNSCB and PS051, CN46 of FNSCB, CN154 of PS051, and the wiring. Then, repair it when there is any abnormality. 5. Check the IO Check (72-11), LED emission, and the light-receiving path of PS051, and repair it when there is any abnormality. 6. Check the IO Check (72-15) of M301 and the coupling of the gear, and repair it when there is any abnormality. 7. Replace LED001 and PS051. 8. Replace M301. 9. Replace FNSCB.;DIPSW6-4;The use of OT is unavailable
C-1103;FS: FS-532 abnormality;The stacker alignment home sensor (PS117) does not become active within a specified period of time after the home position search operation of the stacker alignment motor (M117) starts.;when an alert occurs The main body and the option stop immediately.;• FNS control board (FNSCB) • Stacker alignment motor (M117) • Stacker alignment home sensor (PS117);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;- The output check on the IO check mode has restrictive conditions. Check the IO check mode list before the output check. 5. Check the IO Check (72-09) of PS117 or the operation, and repair it when there is any abnormality. 6. Replace PS117. 7. Replace M117. 8. Replace FNSCB.;1. Check the alignment section, and clean or repair it when there is any abnormality. 2. Check the connector connection between FNSCB and M117, CN30 of FNSCB, CN133 (Relay connector), CN109 of M117, and the wiring. Then repair it when there is any abnormality. 3. Check the connector connection between FNSCB and PS117, CN44 of FNSCB, CN193 (Relay connector), CN152 of PS117, and the wiring. Then repair it when there is any abnormality. 4. Check the IO Check (72-09) and others of M117 and the coupling of the gear, and repair it when there is any abnormality.;DIPSW6-3;The use of the staple is unavailable
C-1105;FS: FS-532 abnormality;The paper exit opening unit does not get to the specified opening position within a specified period of time after the paper exit opening motor (M111) starts operations.;when an alert occurs The main body and the option stop immediately.;• FNS control board (FNSCB) • Paper exit opening motor (M111) • Paper exit opening sensor (PS111);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;- The output check on the IO check mode has restrictive conditions. Check the IO check mode list before the output check. 5. Check the IO Check (72-10) of PS111 or the operation, and repair it when there is any abnormality. 6. Replace PS111. 7. Replace M111. 8. Replace FNSCB.;1. Check the paper exit opening section, and clean or repair it when there is any abnormality. 2. Check the connector connection between FNSCB and M111, CN27 of FNSCB, CN110 of M111, and the wiring. Then repair it when there is any abnormality. 3. Check the connector connection between FNSCB and PS111, CN48 of FNSCB, CN153 of M111, and the wiring. Then repair it when there is any abnormality. 4. Check the IO Check (72-13) and others of M111 and the coupling of the gear, and repair it when there is any abnormality.;DIPSW6-4;FS main tray and stapling are not available
C-1106;FS: FS-532 abnormality;The stapler movement home sensor (PS116) does not become active within a specified period of time after the home position search operation of the stapler movement motor (M116) starts.;when an alert occurs The main body and the option stop immediately.;• FNS control board (FNSCB) • Stapler movement motor (M116) • Stapler movement home sensor (PS116);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";1. Check the stapler movement section, and clean or repair it when there is any abnormality. 2. Check the connector connection between FNSCB and M116, CN34 of FNSCB, CN136 (Relay connector), CN114 of M116, and the wiring. Then repair it when there is any abnormality. 3. Check the connector connection between FNSCB and PS116, CN43 of FNSCB, CN134 (Relay connector), CN162 of PS116, and the wiring. Then repair it when there is any abnormality. 4. Check the IO Check (72-24) and others of M116 and the coupling of the gear, and repair it when there is any abnormality. 5. Check the IO Check (72-19) of PS116 or the operation, and repair it when there is any abnormality. 6. Replace PS116. 7. Replace M116. 8. Replace FNSCB.;DIPSW6-3;The use of the staple is unavailable
C-1109;FS: FS-532 abnormality;The stapler home sensor (PS060) does not become active within a specified period of time after the stapler motor (M401) starts operations.;when an alert occurs The main body and the option stop immediately.;• FNS control board (FNSCB) • Stapler unit;;"- The message """"Please call service"""" is displayed on the panel.";1. Check the connector connection and the wiring between FNSCB and the stapler, and repair it when there is any abnormality. 2. Replacing the stapler assy 3. Replace FNSCB.;DIPSW6-3 Control while detached The use of the staple is unavailable;
C-110A;FS: FS-532 abnormality;The abnormality detection signal (ICP cut out) of the main tray up down motor (M301) is detected.;when an alert occurs The main body and the option stop immediately.;• FNS control board (FNSCB) • Main tray up down motor (M301);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";1. Check the tray up and down section, and clean or repair it when there is any abnormality. 2. Check the connector connection between FNSCB and M301, CN38 of FNSCB, CN111 of M301, and the wiring. Then repair it when there is any abnormality. 3. Check the IO Check (72-15) of M301 and the coupling of the gear, and repair it when there is any abnormality. 4. Replace M301. 5. Replace FNSCB.;DIPSW6-4;FS main tray and stapling are not available
C-110A;OT: OT-512 abnormality;The abnormality detection signal (ICP cut out) of the main tray up down motor (M301) is detected.;when an alert occurs The main body and the option stop immediately.;• FNS control board (FNSCB) • Main tray up down motor (M301);Press the help key to activate and deactivate the sub power switch (SW2) of the main body.;"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.";1. Check the tray up and down section, and clean or repair it when there is any abnormality. 2. Check the connector connection between FNSCB and M301, CN38 of FNSCB, CN111 of M301, and the wiring. Then, repair it when there is any abnormality. 3. Check the IO Check (72-15) of M301 and the coupling of the gear, and repair it when there is any abnormality. 4. Replace M301. 5. Replace FNSCB.;DIPSW6-4;The use of OT is unavailable
